subject_id,n_all,n_inhouse_pass,n_orphanidou_pass,n_both_pass,rho_all,rho_inhouse,rho_orphanidou,rho_both
S10,448,448,214,214,0.6487702473487028,0.6487702473487028,0.7761177006606498,0.7761177006606498
S11,443,443,61,61,0.7571458353075325,0.7571458353075325,0.8730740792854484,0.8730740792854484
S13,442,442,115,115,0.4198480249394504,0.4198480249394504,0.5352166420555694,0.5352166420555694
S14,441,441,114,114,0.8719107546183557,0.8719107546183557,0.9562574063376056,0.9562574063376056
S15,444,444,106,106,0.47420025123400583,0.47420025123400583,0.5842714238770351,0.5842714238770351
S16,437,437,115,115,0.8324268963849795,0.8324268963849795,0.9148623888596137,0.9148623888596137
S17,452,452,125,125,0.8297347758539552,0.8297347758539552,0.8906763696142176,0.8906763696142176
S2,420,420,122,122,0.4530946701153863,0.4530946701153863,0.48191533723428864,0.48191533723428864
S3,428,428,67,67,0.44840519245699473,0.44840519245699473,0.580344504336532,0.580344504336532
S4,429,429,88,88,0.7611930568921754,0.7611930568921754,0.7424823587585332,0.7424823587585332
S5,441,441,70,70,0.5793085252428961,0.5793085252428961,0.6274808574934014,0.6274808574934014
S6,437,437,66,66,0.5277589144336303,0.5277589144336303,0.711595106712223,0.711595106712223
S7,436,436,130,130,0.6092029499176033,0.6092029499176033,0.7797463894280083,0.7797463894280083
S8,439,439,139,139,0.7211244531484629,0.7211244531484629,0.7153502116805492,0.7153502116805492
S9,432,432,151,151,0.4653501401545535,0.4653501401545535,0.757763567870763,0.757763567870763
