subject_id,n_train,n_test,n_train_pos,n_train_neg,n_test_pos,n_test_neg,auroc
S10,1232,188,293,939,51,137,0.6985830828681837
S13,1328,92,324,1004,20,72,0.8243055555555556
S14,1312,108,283,1029,61,47,1.0
S15,1339,81,317,1022,27,54,0.5349794238683128
S16,1315,105,279,1036,65,40,0.9911538461538463
S17,1305,115,307,998,37,78,0.9968814968814969
S2,1312,108,337,975,7,101,0.7779349363507779
S3,1354,66,330,1024,14,52,0.9766483516483516
S4,1365,55,337,1028,7,48,0.931547619047619
S5,1359,61,341,1018,3,58,0.971264367816092
S6,1372,48,336,1036,8,40,0.609375
S7,1294,126,335,959,9,117,0.752136752136752
S8,1292,128,331,961,13,115,0.8187290969899665
S9,1321,99,322,999,22,77,0.641086186540732
