subject_id,n_train,n_test,n_train_pos,n_train_neg,n_test_pos,n_test_neg,auroc
S10,5107,379,1835,3272,144,235,0.6108156028368794
S11,5116,370,1844,3272,135,235,0.9176674546887312
S13,5120,366,1848,3272,131,235,0.6800714633750202
S14,5117,369,1845,3272,134,235,0.987837408701175
S15,5115,371,1842,3273,137,234,0.4802545386486992
S16,5117,369,1845,3272,134,235,0.9622419815814544
S17,5107,379,1835,3272,144,235,0.9606678486997636
S2,5136,350,1857,3279,122,228,0.7486338797814208
S3,5132,354,1852,3280,127,227,0.8499427659648271
S4,5130,356,1853,3277,126,230,0.9418909592822637
S5,5119,367,1851,3268,128,239,0.8809165794979079
S6,5122,364,1850,3272,129,235,0.7335642421243608
S7,5123,363,1852,3271,127,236,0.8567329507540371
S8,5120,366,1846,3274,133,233,0.8255510019684404
S9,5123,363,1851,3272,128,235,0.6233710106382979
