subject_id,metric,contrast,n_a,n_b,mean_a,mean_b,median_a,median_b,p_value,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,cohens_d
S10,ppg_sqi,baseline_vs_stress,235,144,0.98278,0.98473,0.98417,0.99012,0.00019349063273843675,-0.228,-0.348,-0.1,-0.128
S10,ecg_sqi,baseline_vs_stress,235,144,0.96881,0.97677,0.96301,0.97354,1.3055325765540193e-07,-0.321,-0.426,-0.215,-0.416
S10,ppg_motion,baseline_vs_stress,235,144,0.03132,0.02776,0.02879,0.01796,0.00019349063273843675,0.228,0.1,0.348,0.128
S10,ppg_sqi,baseline_vs_amusement,235,73,0.98278,0.98976,0.98417,0.9912,5.831404511420168e-07,-0.387,-0.506,-0.249,-0.558
S10,ecg_sqi,baseline_vs_amusement,235,73,0.96881,0.96009,0.96301,0.94887,1.2722174558038332e-06,0.374,0.176,0.547,0.418
S10,ppg_motion,baseline_vs_amusement,235,73,0.03132,0.01863,0.02879,0.016,5.831404511420168e-07,0.387,0.249,0.506,0.558
S11,ppg_sqi,baseline_vs_stress,235,135,0.99228,0.98154,0.99391,0.98586,8.80563165423269e-16,0.502,0.391,0.61,0.976
S11,ecg_sqi,baseline_vs_stress,235,135,0.98241,0.98378,0.97842,0.9787,0.45657414224579307,0.046,-0.084,0.186,-0.144
S11,ppg_motion,baseline_vs_stress,235,135,0.01403,0.03356,0.01107,0.02572,8.80563165423269e-16,-0.502,-0.61,-0.391,-0.976
S11,ppg_sqi,baseline_vs_amusement,235,73,0.99228,0.99106,0.99391,0.99242,0.06821951765649244,0.141,-0.021,0.291,0.193
S11,ecg_sqi,baseline_vs_amusement,235,73,0.98241,0.98351,0.97842,0.97976,0.11680444134790217,-0.121,-0.276,0.021,-0.127
S11,ppg_motion,baseline_vs_amusement,235,73,0.01403,0.01625,0.01107,0.01379,0.06821951765649244,-0.141,-0.291,0.021,-0.193
S13,ppg_sqi,baseline_vs_stress,235,131,0.98762,0.98858,0.98989,0.99128,0.2212102866076111,-0.077,-0.2,0.046,-0.089
S13,ecg_sqi,baseline_vs_stress,235,131,0.98655,0.98223,0.98425,0.98031,1.1404779900834748e-06,0.306,0.175,0.433,0.399
S13,ppg_motion,baseline_vs_stress,235,131,0.02251,0.02077,0.01838,0.01586,0.2212102866076111,0.077,-0.046,0.2,0.089
S13,ppg_sqi,baseline_vs_amusement,235,76,0.98762,0.98877,0.98989,0.99084,0.22969941707570285,-0.092,-0.241,0.077,-0.108
S13,ecg_sqi,baseline_vs_amusement,235,76,0.98655,0.98539,0.98425,0.98255,0.03881004181657228,0.157,0.011,0.293,0.157
S13,ppg_motion,baseline_vs_amusement,235,76,0.02251,0.02041,0.01838,0.01665,0.22969941707570285,0.092,-0.077,0.241,0.108
S14,ppg_sqi,baseline_vs_stress,235,134,0.99378,0.97962,0.99502,0.9855,2.715492321924744e-29,0.703,0.622,0.782,1.297
S14,ecg_sqi,baseline_vs_stress,235,134,0.98564,0.98884,0.98186,0.98808,5.792400934678184e-06,-0.282,-0.399,-0.168,-0.372
S14,ppg_motion,baseline_vs_stress,235,134,0.0113,0.03705,0.00906,0.02637,2.715492321924744e-29,-0.703,-0.782,-0.622,-1.297
S14,ppg_sqi,baseline_vs_amusement,235,73,0.99378,0.98541,0.99502,0.98624,3.66284600803035e-15,0.61,0.484,0.736,1.548
S14,ecg_sqi,baseline_vs_amusement,235,73,0.98564,0.96819,0.98186,0.9673,8.529975404625935e-20,0.704,0.567,0.841,1.588
S14,ppg_motion,baseline_vs_amusement,235,73,0.0113,0.02653,0.00906,0.02502,3.66284600803035e-15,-0.61,-0.736,-0.484,-1.548
S15,ppg_sqi,baseline_vs_stress,234,137,0.98072,0.99094,0.98527,0.99331,4.033190433297077e-15,-0.488,-0.584,-0.387,-0.786
S15,ecg_sqi,baseline_vs_stress,234,137,0.98859,0.99067,0.98684,0.98911,4.2631919488325e-06,-0.285,-0.408,-0.179,-0.349
S15,ppg_motion,baseline_vs_stress,234,137,0.03506,0.01647,0.02679,0.01217,4.033190433297077e-15,0.488,0.387,0.584,0.786
S15,ppg_sqi,baseline_vs_amusement,234,73,0.98072,0.98387,0.98527,0.98709,0.6477806370858439,-0.035,-0.166,0.106,-0.229
S15,ecg_sqi,baseline_vs_amusement,234,73,0.98859,0.99193,0.98684,0.98987,7.502194763067348e-08,-0.415,-0.542,-0.286,-0.544
S15,ppg_motion,baseline_vs_amusement,234,73,0.03506,0.02933,0.02679,0.02348,0.6477806370858439,0.035,-0.106,0.166,0.229
S16,ppg_sqi,baseline_vs_stress,235,134,0.99042,0.95651,0.99274,0.96864,4.5823384697733355e-21,0.589,0.464,0.709,1.409
S16,ecg_sqi,baseline_vs_stress,235,134,0.98524,0.99053,0.98157,0.98833,4.5456022303058507e-10,-0.388,-0.502,-0.28,-0.663
S16,ppg_motion,baseline_vs_stress,235,134,0.01741,0.07907,0.0132,0.05702,4.5823384697733355e-21,-0.589,-0.709,-0.464,-1.409
S16,ppg_sqi,baseline_vs_amusement,235,72,0.99042,0.97595,0.99274,0.97869,4.108729558321457e-19,0.696,0.579,0.8,1.366
S16,ecg_sqi,baseline_vs_amusement,235,72,0.98524,0.98478,0.98157,0.98088,0.4808373689333987,0.055,-0.103,0.211,0.06
S16,ppg_motion,baseline_vs_amusement,235,72,0.01741,0.04373,0.0132,0.03875,4.108729558321457e-19,-0.696,-0.8,-0.579,-1.366
S17,ppg_sqi,baseline_vs_stress,235,144,0.99419,0.97936,0.99622,0.9837,1.0358499230300299e-34,0.752,0.681,0.817,1.162
S17,ecg_sqi,baseline_vs_stress,235,144,0.98835,0.99358,0.98546,0.99362,7.915003037566577e-17,-0.507,-0.607,-0.415,-0.854
S17,ppg_motion,baseline_vs_stress,235,144,0.01056,0.03752,0.00688,0.02964,1.0358499230300299e-34,-0.752,-0.817,-0.681,-1.162
S17,ppg_sqi,baseline_vs_amusement,235,73,0.99419,0.98684,0.99622,0.99067,4.3527407619139594e-14,0.585,0.479,0.678,0.969
S17,ecg_sqi,baseline_vs_amusement,235,73,0.98835,0.98577,0.98546,0.98425,0.00532926886703488,0.215,0.064,0.361,0.384
S17,ppg_motion,baseline_vs_amusement,235,73,0.01056,0.02392,0.00688,0.01696,4.3527407619139594e-14,-0.585,-0.678,-0.479,-0.969
S2,ppg_sqi,baseline_vs_stress,228,122,0.98897,0.98563,0.99199,0.99035,0.14109736145461724,0.095,-0.039,0.221,0.298
S2,ecg_sqi,baseline_vs_stress,228,122,0.98656,0.97756,0.98664,0.97844,4.4724890487383617e-07,0.324,0.199,0.443,0.597
S2,ppg_motion,baseline_vs_stress,228,122,0.02005,0.02612,0.01456,0.01755,0.14109736145461724,-0.095,-0.221,0.039,-0.298
S2,ppg_sqi,baseline_vs_amusement,228,72,0.98897,0.98822,0.99199,0.99154,0.7796850994127533,-0.022,-0.182,0.132,0.08
S2,ecg_sqi,baseline_vs_amusement,228,72,0.98656,0.98216,0.98664,0.97919,0.0012006131027277988,0.25,0.098,0.396,0.333
S2,ppg_motion,baseline_vs_amusement,228,72,0.02005,0.02142,0.01456,0.01539,0.7796850994127533,0.022,-0.132,0.182,-0.08
S3,ppg_sqi,baseline_vs_stress,227,127,0.98641,0.98278,0.98991,0.98702,0.02577706365713124,0.143,0.015,0.271,0.268
S3,ecg_sqi,baseline_vs_stress,227,127,0.98749,0.98901,0.98485,0.9875,0.0746530720175304,-0.113,-0.223,0.003,-0.154
S3,ppg_motion,baseline_vs_stress,227,127,0.0247,0.03131,0.01835,0.02359,0.02577706365713124,-0.143,-0.271,-0.015,-0.268
S3,ppg_sqi,baseline_vs_amusement,227,74,0.98641,0.97563,0.98991,0.97932,1.8945172459535713e-10,0.493,0.343,0.628,0.799
S3,ecg_sqi,baseline_vs_amusement,227,74,0.98749,0.98856,0.98485,0.98668,0.3861870970323916,-0.066,-0.203,0.086,-0.1
S3,ppg_motion,baseline_vs_amusement,227,74,0.0247,0.04431,0.01835,0.03759,1.8945172459535713e-10,-0.493,-0.628,-0.343,-0.799
S4,ppg_sqi,baseline_vs_stress,230,126,0.99188,0.98562,0.99342,0.98836,9.66836585251274e-12,0.437,0.316,0.551,0.897
S4,ecg_sqi,baseline_vs_stress,230,126,0.9904,0.98476,0.98803,0.98594,5.791813570393214e-09,0.372,0.243,0.494,0.651
S4,ppg_motion,baseline_vs_stress,230,126,0.01477,0.02614,0.01195,0.02117,9.66836585251274e-12,-0.437,-0.551,-0.316,-0.897
S4,ppg_sqi,baseline_vs_amusement,230,73,0.99188,0.98976,0.99342,0.99134,0.010379629017144702,0.199,0.05,0.347,0.395
