subject_id,n_windows_total,n_windows_valid,hr_mean_bpm,hr_sd_bpm,within_subject_cv_percent,split_half_r
S10,236,231,98.03,7.11,7.25,-0.1261
S11,236,236,74.13,4.72,6.37,0.0901
S13,236,236,86.93,5.6,6.44,0.0157
S14,236,236,73.2,4.5,6.15,0.1427
S15,235,235,82.6,5.46,6.61,0.0665
S16,236,236,65.31,5.82,8.91,0.0415
S17,236,236,66.53,7.89,11.86,0.0932
S2,228,227,72.47,4.89,6.74,0.0776
S3,228,228,54.65,4.96,9.07,0.1122
S4,231,231,60.59,5.72,9.43,0.3967
S5,239,239,62.87,3.85,6.12,0.0408
S6,236,236,69.3,5.92,8.54,-0.0931
S7,237,237,70.58,6.83,9.67,0.0188
S8,233,233,70.86,4.98,7.03,-0.0269
S9,236,236,76.62,5.69,7.43,0.0713
