held_out,best_train_thr,train_kappa,test_kappa,test_inhouse_pass,note
S10,0.9900000000000004,0.018175279856873505,-0.3205938092229945,0.40707964601769914,
S11,0.8500000000000003,0.00023492727932861168,0.0,1.0,degenerate (test in-house constant)
S13,0.9900000000000004,0.0032205450467795993,-0.214261886540688,0.5452488687782805,
S14,0.8500000000000003,0.0002245569971640604,0.0,1.0,degenerate (test in-house constant)
S15,0.8500000000000003,0.00022626626923094584,0.0,1.0,degenerate (test in-house constant)
S16,0.9800000000000004,0.009406777382060305,-0.250363162224128,0.6848072562358276,
S17,0.8500000000000003,0.00011163983789097554,0.0016937439872088955,0.9977876106194691,
S2,0.8500000000000003,0.00022114545224294346,0.0,1.0,degenerate (test in-house constant)
S3,0.8500000000000003,0.00023241011329311334,0.0,1.0,degenerate (test in-house constant)
S4,0.8500000000000003,0.00022843142234729719,0.0,1.0,degenerate (test in-house constant)
S5,0.8500000000000003,0.00023298494002055303,0.0,1.0,degenerate (test in-house constant)
S6,0.8500000000000003,0.00023340850918540657,0.0,1.0,degenerate (test in-house constant)
S7,0.8500000000000003,0.0002209948823880259,0.0,1.0,degenerate (test in-house constant)
S8,0.8500000000000003,0.0002195395589748017,0.0,1.0,degenerate (test in-house constant)
S9,0.9800000000000004,0.004718424005318966,-0.16322995861364853,0.7482837528604119,
