subject_id,n_chest_samples,n_wrist_ppg_samples,total_seconds,seconds_transient,seconds_sitting,seconds_stairs,seconds_table_soccer,seconds_cycling,seconds_car_driving,seconds_lunch_break,seconds_walking,seconds_working
S1,6448400,589568,9212.0,2281.0,700.0,287.0,345.0,412.0,889.0,2355.0,754.0,1189.0
S10,7453600,681472,10648.0,3542.0,598.0,467.0,305.0,488.0,937.0,2084.0,1082.0,1145.0
S11,6333600,579072,9048.0,2035.0,600.0,457.0,324.0,490.0,860.0,2408.0,654.0,1220.0
S12,5539800,506496,7914.0,1994.0,602.0,484.0,280.0,480.0,890.0,1460.0,529.0,1195.0
S13,6395200,584704,9136.0,2387.0,605.0,497.0,290.0,498.0,897.0,2028.0,709.0,1225.0
S14,6270600,573312,8958.0,2562.0,608.0,456.0,325.0,502.0,954.0,1731.0,615.0,1205.0
S15,5557300,508096,7939.0,2063.0,611.0,419.0,354.0,405.0,785.0,1440.0,659.0,1203.0
S2,5743500,525120,8205.0,2527.0,600.0,267.0,304.0,387.0,920.0,1220.0,689.0,1291.0
S3,6118700,559424,8741.0,2016.0,600.0,435.0,293.0,379.0,910.0,2160.0,738.0,1210.0
S4,6405000,585600,9150.0,2518.0,570.0,523.0,328.0,475.0,1007.0,1895.0,594.0,1240.0
S5,6513500,595520,9305.0,2574.0,600.0,465.0,290.0,432.0,830.0,2255.0,589.0,1270.0
S6,3675000,336000,5250.0,2297.0,633.0,430.0,309.0,533.0,1048.0,,,
S7,6540100,597952,9343.0,2198.0,618.0,406.0,274.0,503.0,1035.0,2425.0,709.0,1175.0
S8,5656000,517120,8080.0,2082.0,600.0,412.0,323.0,420.0,770.0,1800.0,481.0,1192.0
S9,5992000,547840,8560.0,2007.0,600.0,483.0,285.0,554.0,955.0,1842.0,589.0,1245.0
