subject_id,metric,baseline_n,stress_n,baseline_mean,stress_mean,delta_b_minus_a,wilcoxon_p
S10,inhouse_ppg_sqi,235,144,0.9827764414303387,0.984733139402532,0.001956697972193333,0.00019312027727240162
S10,inhouse_ecg_sqi,235,144,0.9688166818595287,0.9767731627755659,0.007956480916037179,1.4909801860655128e-07
S10,inhouse_ppg_motion,235,144,0.03131556103574793,0.027757928359032784,-0.0035576326767151473,0.00019312027727240162
S10,hr_abs_diff,233,142,5.618562684105401,9.831742063619641,4.213179379514241,1.0361524508384396e-07
S10,orphanidou_template_corr,235,144,0.8693204514211741,0.8086288193005914,-0.060691632120582706,2.647543175121181e-08
S11,inhouse_ppg_sqi,235,135,0.9922829452576994,0.9815440766460702,-0.010738868611629204,8.769414581533163e-16
S11,inhouse_ecg_sqi,235,135,0.9824149777625826,0.9837828484703323,0.0013678707077496854,0.45830392112445006
S11,inhouse_ppg_motion,235,135,0.014031008622364725,0.03355622427987295,0.01952521565750822,8.769414581533163e-16
S11,hr_abs_diff,235,135,5.692695542867705,26.02119973606174,20.328504193194036,2.0846488740375782e-35
S11,orphanidou_template_corr,235,135,0.7296807618391088,0.6470248749896983,-0.0826558868494105,8.659633322064613e-07
S13,inhouse_ppg_sqi,235,131,0.9876204287713343,0.9885750103030833,0.0009545815317489881,0.22101579548549033
S13,inhouse_ecg_sqi,235,131,0.9865514162187922,0.9822282666468839,-0.004323149571908269,1.244399414041403e-06
S13,inhouse_ppg_motion,235,131,0.022508311324846864,0.020772708539848916,-0.0017356027849979479,0.22101579548549033
S13,hr_abs_diff,235,131,5.5858755637636195,15.72672024033704,10.140844676573419,1.4666087051327415e-12
S13,orphanidou_template_corr,235,131,0.8030491598217804,0.7308334010607375,-0.07221575876104291,1.8989397364000737e-05
S14,inhouse_ppg_sqi,235,134,0.9937847777435088,0.9796227618616559,-0.014162015881852952,2.6999337805830254e-29
S14,inhouse_ecg_sqi,235,134,0.9856385572918623,0.9888434267198708,0.003204869428008461,6.420723914557588e-06
S14,inhouse_ppg_motion,235,134,0.01130040410271125,0.037049523887898415,0.025749119785187166,2.6999337805830254e-29
S14,hr_abs_diff,235,133,4.04141994024666,15.100277854714081,11.05885791446742,4.4711625169856605e-09
S14,orphanidou_template_corr,235,134,0.7706417539829092,0.8411439243188058,0.07050217033589656,1.896116897040425e-07
S15,inhouse_ppg_sqi,234,137,0.9807168280993536,0.9909409525550151,0.010224124455661565,4.0170848908542055e-15
S15,inhouse_ecg_sqi,234,137,0.9885877843683509,0.9906684761194682,0.0020806917511172474,4.512910186594184e-06
S15,inhouse_ppg_motion,234,137,0.03506031254662985,0.01647099535451829,-0.01858931719211156,4.0170848908542055e-15
S15,hr_abs_diff,234,137,6.264705115645013,6.752303795603284,0.4875986799582712,0.0744985471484584
S15,orphanidou_template_corr,234,137,0.7484126482888706,0.7754585493320116,0.027045901043141085,0.07515341945262216
S16,inhouse_ppg_sqi,235,134,0.9904241354202523,0.9565141640015155,-0.03390997141873686,4.560250129677881e-21
S16,inhouse_ecg_sqi,235,134,0.9852439267790409,0.9905302385255284,0.005286311746487415,5.935666674271385e-10
S16,inhouse_ppg_motion,235,134,0.017410662872268483,0.07906515636088131,0.06165449348861282,4.560250129677881e-21
S16,hr_abs_diff,235,130,9.586701113464287,12.831563998223006,3.244862884758719,0.6522460467838753
S16,orphanidou_template_corr,235,134,0.7205417396978503,0.8318125461166276,0.11127080641877729,7.969283027221757e-12
S17,inhouse_ppg_sqi,235,144,0.994189289439229,0.9793634515859893,-0.014825837853239765,1.0296795174690019e-34
S17,inhouse_ecg_sqi,235,144,0.9883472884497949,0.9935789250015811,0.005231636551786156,1.0976292703869588e-16
S17,inhouse_ppg_motion,235,144,0.01056492829231107,0.03752099711638325,0.026956068824072178,1.0296795174690019e-34
S17,hr_abs_diff,235,144,6.534567567890841,14.05768537280773,7.52311780491689,2.914782556714202e-10
S17,orphanidou_template_corr,235,144,0.8029675040348027,0.7685936536270039,-0.03437385040779872,0.013147112320429116
S2,inhouse_ppg_sqi,228,122,0.9889700703311336,0.9856334022197143,-0.0033366681114193053,0.1409476715627404
S2,inhouse_ecg_sqi,228,122,0.9865634211560956,0.9775633605930142,-0.009000060563081447,5.668731400584481e-07
S2,inhouse_ppg_motion,228,122,0.020054417579757306,0.026121086873246848,0.006066669293489542,0.1409476715627404
S2,hr_abs_diff,226,122,8.325227555543995,14.965922192203251,6.640694636659257,3.474859927956418e-10
S2,orphanidou_template_corr,228,122,0.8218248005319716,0.6607037386792931,-0.1611210618526785,3.374379975311692e-14
S3,inhouse_ppg_sqi,227,127,0.9864140044510958,0.9827770595694841,-0.0036369448816117034,0.02574110611927521
S3,inhouse_ecg_sqi,227,127,0.9874884626419601,0.9890097051958492,0.0015212425538890795,0.07801669603339528
S3,inhouse_ppg_motion,227,127,0.024701810088916663,0.03131443714639289,0.006612627057476228,0.02574110611927521
S3,hr_abs_diff,227,127,16.432695930374255,11.82443038198793,-4.608265548386324,0.03349131694354163
S3,orphanidou_template_corr,227,127,0.7389169684579968,0.7165202858897732,-0.02239668256822358,0.1454286835362177
S4,inhouse_ppg_sqi,230,126,0.991875988417918,0.9856245895536291,-0.006251398864288937,9.632235611295361e-12
S4,inhouse_ecg_sqi,230,126,0.990400312169188,0.9847643476670195,-0.005635964502168522,6.156255234584101e-09
S4,inhouse_ppg_motion,230,126,0.01477093014924004,0.026137109902492763,0.011366179753252723,9.632235611295361e-12
