motion_flag,motion_severity,motion_explanation,dropout_flag,dropout_severity,dropout_explanation,spike_flag,spike_severity,spike_explanation,flatline_flag,flatline_severity,flatline_explanation,any_artifact,artifact_burden
0,0.0,"amp_var=0.407 (thr=0.5, range-normalized), hf_power_ratio=0.029 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.398 (thr=0.5, range-normalized), hf_power_ratio=0.015 (thr=0.4)",0,0.015625,longest_dropout=2 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.00390625
0,0.0,"amp_var=0.268 (thr=0.5, range-normalized), hf_power_ratio=0.113 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.356 (thr=0.5, range-normalized), hf_power_ratio=0.070 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.410 (thr=0.5, range-normalized), hf_power_ratio=0.015 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.407 (thr=0.5, range-normalized), hf_power_ratio=0.019 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.284 (thr=0.5, range-normalized), hf_power_ratio=0.140 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.361 (thr=0.5, range-normalized), hf_power_ratio=0.064 (thr=0.4)",0,0.015625,longest_dropout=2 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.00390625
0,0.0,"amp_var=0.277 (thr=0.5, range-normalized), hf_power_ratio=0.104 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.386 (thr=0.5, range-normalized), hf_power_ratio=0.052 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.393 (thr=0.5, range-normalized), hf_power_ratio=0.036 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.256 (thr=0.5, range-normalized), hf_power_ratio=0.165 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.312 (thr=0.5, range-normalized), hf_power_ratio=0.101 (thr=0.4)",1,0.3046875,longest_dropout=39 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",1,0.076171875
0,0.0,"amp_var=0.296 (thr=0.5, range-normalized), hf_power_ratio=0.233 (thr=0.4)",0,0.2109375,longest_dropout=27 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.052734375
0,0.0,"amp_var=0.271 (thr=0.5, range-normalized), hf_power_ratio=0.129 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.235 (thr=0.5, range-normalized), hf_power_ratio=0.205 (thr=0.4)",1,0.265625,longest_dropout=34 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",1,0.06640625
0,0.0,"amp_var=0.285 (thr=0.5, range-normalized), hf_power_ratio=0.151 (thr=0.4)",1,0.4375,longest_dropout=56 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",1,0.109375
0,0.0,"amp_var=0.331 (thr=0.5, range-normalized), hf_power_ratio=0.028 (thr=0.4)",0,0.15625,longest_dropout=20 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.0390625
0,0.0,"amp_var=0.275 (thr=0.5, range-normalized), hf_power_ratio=0.113 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.281 (thr=0.5, range-normalized), hf_power_ratio=0.150 (thr=0.4)",0,0.1328125,longest_dropout=17 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.033203125
0,0.0,"amp_var=0.408 (thr=0.5, range-normalized), hf_power_ratio=0.029 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.365 (thr=0.5, range-normalized), hf_power_ratio=0.011 (thr=0.4)",1,0.296875,longest_dropout=38 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",1,0.07421875
0,0.0,"amp_var=0.363 (thr=0.5, range-normalized), hf_power_ratio=0.039 (thr=0.4)",0,0.015625,longest_dropout=2 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.00390625
0,0.0,"amp_var=0.275 (thr=0.5, range-normalized), hf_power_ratio=0.141 (thr=0.4)",1,0.390625,longest_dropout=50 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",1,0.09765625
0,0.0,"amp_var=0.361 (thr=0.5, range-normalized), hf_power_ratio=0.069 (thr=0.4)",0,0.234375,longest_dropout=30 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.05859375
0,0.0,"amp_var=0.379 (thr=0.5, range-normalized), hf_power_ratio=0.052 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.405 (thr=0.5, range-normalized), hf_power_ratio=0.017 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.261 (thr=0.5, range-normalized), hf_power_ratio=0.161 (thr=0.4)",1,0.40625,longest_dropout=52 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",1,0.1015625
0,0.0,"amp_var=0.300 (thr=0.5, range-normalized), hf_power_ratio=0.103 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.349 (thr=0.5, range-normalized), hf_power_ratio=0.085 (thr=0.4)",0,0.015625,longest_dropout=2 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.00390625
0,0.0,"amp_var=0.276 (thr=0.5, range-normalized), hf_power_ratio=0.130 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.395 (thr=0.5, range-normalized), hf_power_ratio=0.040 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.408 (thr=0.5, range-normalized), hf_power_ratio=0.014 (thr=0.4)",0,0.015625,longest_dropout=2 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.00390625
0,0.0,"amp_var=0.355 (thr=0.5, range-normalized), hf_power_ratio=0.082 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.318 (thr=0.5, range-normalized), hf_power_ratio=0.089 (thr=0.4)",0,0.2265625,longest_dropout=29 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.056640625
0,0.0,"amp_var=0.316 (thr=0.5, range-normalized), hf_power_ratio=0.122 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.398 (thr=0.5, range-normalized), hf_power_ratio=0.039 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.416 (thr=0.5, range-normalized), hf_power_ratio=0.025 (thr=0.4)",0,0.015625,longest_dropout=2 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.00390625
0,0.0,"amp_var=0.357 (thr=0.5, range-normalized), hf_power_ratio=0.064 (thr=0.4)",0,0.015625,longest_dropout=2 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.00390625
0,0.0,"amp_var=0.278 (thr=0.5, range-normalized), hf_power_ratio=0.128 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.364 (thr=0.5, range-normalized), hf_power_ratio=0.059 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
0,0.0,"amp_var=0.399 (thr=0.5, range-normalized), hf_power_ratio=0.048 (thr=0.4)",0,0.0078125,longest_dropout=1 samples (thr=32),0,0.0,"n_spikes=0, z_threshold=4.0",0,0.0,"flat_windows=0, threshold=0.0001",0,0.001953125
