participant_id,miss_rate,max_consecutive_missing,mean_consecutive_missing,n_missing_episodes
P0001,0.2833333333333333,2,1.1333333333333333,15
P0002,0.18333333333333332,2,1.2222222222222223,9
P0003,0.23333333333333334,3,1.2727272727272727,11
P0004,0.5333333333333333,3,1.6,20
P0005,0.31666666666666665,3,1.4615384615384615,13
P0006,0.36666666666666664,3,1.4666666666666666,15
P0007,0.3,6,2.25,8
P0008,0.21666666666666667,4,1.8571428571428572,7
P0009,0.2,2,1.3333333333333333,9
P0010,0.2833333333333333,2,1.1333333333333333,15
P0011,0.08333333333333333,1,1.0,5
P0012,0.5,5,2.3076923076923075,13
P0013,0.3333333333333333,2,1.25,16
P0014,0.05,1,1.0,3
P0015,0.13333333333333333,2,1.1428571428571428,7
P0016,0.16666666666666666,1,1.0,10
P0017,0.016666666666666666,1,1.0,1
P0018,0.21666666666666667,2,1.0833333333333333,12
P0019,0.26666666666666666,4,1.2307692307692308,13
P0020,0.13333333333333333,2,1.1428571428571428,7
P0021,0.11666666666666667,1,1.0,7
P0022,0.11666666666666667,2,1.1666666666666667,6
P0023,0.25,3,1.25,12
P0024,0.35,3,1.2352941176470589,17
P0025,0.1,1,1.0,6
P0026,0.18333333333333332,2,1.1,10
P0027,0.4166666666666667,2,1.3157894736842106,19
P0028,0.21666666666666667,1,1.0,13
P0029,0.11666666666666667,1,1.0,7
P0030,0.13333333333333333,2,1.1428571428571428,7
P0031,0.13333333333333333,2,1.1428571428571428,7
P0032,0.18333333333333332,4,1.375,8
P0033,0.21666666666666667,2,1.0833333333333333,12
P0034,0.16666666666666666,2,1.4285714285714286,7
P0035,0.36666666666666664,4,1.5714285714285714,14
P0036,0.36666666666666664,3,1.375,16
P0037,0.16666666666666666,2,1.1111111111111112,9
P0038,0.16666666666666666,4,1.6666666666666667,6
P0039,0.2,3,1.5,8
P0040,0.38333333333333336,3,1.3529411764705883,17
P0041,0.5166666666666667,5,1.8235294117647058,17
P0042,0.21666666666666667,2,1.1818181818181819,11
P0043,0.2833333333333333,3,1.7,10
P0044,0.25,3,1.5,10
P0045,0.26666666666666666,3,1.2307692307692308,13
P0046,0.36666666666666664,3,1.4666666666666666,15
P0047,0.23333333333333334,2,1.0769230769230769,13
P0048,0.35,5,1.75,12
P0049,0.36666666666666664,6,1.8333333333333333,12
P0050,0.31666666666666665,3,1.5833333333333333,12
P0051,0.23333333333333334,3,1.5555555555555556,9
P0052,0.15,2,1.5,6
P0053,0.23333333333333334,2,1.1666666666666667,12
P0054,0.11666666666666667,2,1.1666666666666667,6
P0055,0.2833333333333333,4,1.7,10
P0056,0.31666666666666665,5,1.5833333333333333,12
P0057,0.36666666666666664,2,1.1578947368421053,19
P0058,0.1,2,1.2,5
P0059,0.13333333333333333,3,1.6,5
P0060,0.35,3,1.5,14
P0061,0.25,2,1.1538461538461537,13
P0062,0.2833333333333333,2,1.1333333333333333,15
P0063,0.16666666666666666,3,1.4285714285714286,7
P0064,0.18333333333333332,2,1.1,10
P0065,0.48333333333333334,6,2.0714285714285716,14
P0066,0.35,2,1.4,15
P0067,0.16666666666666666,2,1.1111111111111112,9
P0068,0.4,3,1.6,15
P0069,0.3,3,1.3846153846153846,13
P0070,0.1,2,1.2,5
P0071,0.3,3,1.2857142857142858,14
P0072,0.16666666666666666,1,1.0,10
P0073,0.35,4,1.4,15
P0074,0.25,3,1.25,12
P0075,0.16666666666666666,2,1.1111111111111112,9
P0076,0.16666666666666666,2,1.1111111111111112,9
P0077,0.35,3,1.4,15
P0078,0.21666666666666667,3,1.1818181818181819,11
P0079,0.45,4,2.076923076923077,13
P0080,0.4,3,1.411764705882353,17
P0081,0.26666666666666666,2,1.3333333333333333,12
P0082,0.35,4,1.75,12
P0083,0.3,3,1.5,12
P0084,0.31666666666666665,3,1.3571428571428572,14
P0085,0.21666666666666667,2,1.3,10
P0086,0.5333333333333333,7,2.4615384615384617,13
